Chapter,Difficulty,Question,Option_A,Option_B,Option_C,Option_D,Answer
Probability,Easy,"If a coin is tossed twice, what is the probability of getting at least one head?",(A) 3/4,(B) 1/4,(C) 1/2,(D) 1/3,(A) 3/4
Probability,Easy,A student guesses on a 5-option multiple-choice question. What is the probability of guessing correctly?,(A) 1/5,(B) 1/4,(C) 1/3,(D) 1/2,(A) 1/5
Probability,Easy,What is the probability of getting a prime number when rolling a fair six-sided die?,(A) 1/2,(B) 1/3,(C) 2/3,(D) 1/6,(A) 1/2
Probability,Easy,"A box contains 10 pens, 3 of which are defective. If a pen is selected at random, what is the probability that it is not defective?",(A) 7/10,(B) 3/10,(C) 1/5,(D) 1/3,(A) 7/10
Probability,Hard,"If three fair dice are rolled, what is the probability of getting a sum of 6?",(A) 10/216,(B) 5/216,(C) 15/216,(D) 20/216,(A) 10/216
Probability,Hard,"A box contains 7 red, 5 green, and 3 blue balls. Two balls are drawn without replacement. What is the probability that both are green?",(A) 10/105,(B) 6/105,(C) 20/105,(D) 15/105,(A) 10/105
Probability,Hard,A fair die is rolled 4 times. What is the probability of rolling a 6 at least once?,(A) 671/1296,(B) 625/1296,(C) 891/1296,(D) 1/6,(A) 671/1296
Probability,Hard,A fair coin is tossed 7 times. What is the probability of getting exactly 4 heads?,(A) 35/128,(B) 21/128,(C) 42/128,(D) 25/128,(A) 35/128
Probability,Hard,A deck of 52 cards is shuffled. What is the probability of drawing two consecutive aces without replacement?,(A) 1/221,(B) 1/169,(C) 2/221,(D) 1/13,(A) 1/221
Probability,Hard,Three fair dice are rolled. What is the probability of getting a sum of exactly 9?,(A) 25/216,(B) 21/216,(C) 29/216,(D) 18/216,(B) 21/216
Probability,Hard,A coin is tossed 6 times. What is the probability of getting exactly 3 heads?,(A) 5/16,(B) 10/64,(C) 20/64,(D) 1/4,(C) 20/64
Probability,Hard,A fair die is rolled 4 times. What is the probability of rolling at least one '1'?,(A) 625/1296,(B) 671/1296,(C) 891/1296,(D) 1/6,(B) 671/1296
Probability,Hard,Two cards are drawn from a shuffled deck of 52. What is the probability that both are Aces?,(A) 1/221,(B) 2/221,(C) 1/169,(D) 1/13,(A) 1/221
Probability,Hard,Three dice are rolled. What is the probability of getting a sum of exactly 7?,(A) 15/216,(B) 21/216,(C) 25/216,(D) 10/216,(B) 21/216
Probability,Hard,"A bag contains 5 red, 6 green, and 4 blue balls. Two balls are drawn without replacement. What is the probability that both are green?",(A) 6/35,(B) 5/35,(C) 10/35,(D) 4/35,(A) 6/35
Probability,Hard,A fair die is rolled 5 times. What is the probability that at least one roll results in a '6'?,(A) 3125/7776,(B) 5400/7776,(C) 5415/7776,(D) 6425/7776,(C) 5415/7776
Probability,Hard,"In a class of 50 students, 30 like mathematics and 25 like science. If 10 like both, what is the probability that a randomly chosen student likes either mathematics or science?",(A) 9/10,(B) 7/10,(C) 4/5,(D) 3/5,(C) 4/5
Probability,Hard,"A box contains 6 red, 4 blue, and 5 green balls. Two balls are drawn randomly. What is the probability that both are red?",(A) 1/7,(B) 2/7,(C) 1/5,(D) 1/3,(B) 2/7
Probability,Hard,A fair die is rolled twice. What is the probability that the first roll is even and the second roll is odd?,(A) 1/4,(B) 1/3,(C) 1/2,(D) 1/6,(C) 1/2
Probability,Hard,"A bag contains 8 red and 4 blue balls. If two balls are drawn at random, what is the probability that at least one is blue?",(A) 2/11,(B) 7/11,(C) 5/11,(D) 9/11,(B) 7/11
Probability,Hard,Two dice are rolled. What is the probability that their sum is greater than 8?,(A) 5/18,(B) 13/36,(C) 7/36,(D) 1/3,(B) 13/36
Probability,Hard,"A school has 60% boys and 40% girls. If a student is chosen at random, what is the probability that it is a girl?",(A) 2/5,(B) 3/5,(C) 1/2,(D) 3/4,(A) 2/5
Probability,Hard,"In a deck of 52 cards, what is the probability of drawing a face card (King, Queen, or Jack)?",(A) 3/13,(B) 1/4,(C) 1/3,(D) 5/12,(A) 3/13
Probability,Hard,A coin is tossed 4 times. What is the probability of getting exactly 3 heads?,(A) 3/16,(B) 1/4,(C) 1/2,(D) 5/16,(D) 5/16
Probability,Hard,Three cards are drawn from a standard deck of 52. What is the probability that all three are Aces?,(A) 1/5525,(B) 1/221,(C) 1/1325,(D) 1/5000,(B) 1/221
Probability,Hard,A family has three children. What is the probability that at least one of them is a boy?,(A) 1/4,(B) 3/4,(C) 7/8,(D) 1/2,(C) 7/8
Probability,Hard,"A bag contains 3 white, 5 black, and 7 red balls. Two balls are drawn at random. What is the probability that they are of different colors?",(A) 37/49,(B) 25/49,(C) 12/49,(D) 15/49,(A) 37/49
Probability,Hard,"A school has 40 students in a class, 25 of whom are boys. If two students are chosen at random, what is the probability that both are boys?",(A) 3/5,(B) 5/13,(C) 4/7,(D) 12/23,(B) 5/13
Probability,Hard,"A box contains 4 red and 6 black balls. A ball is drawn, its color is noted, and it is put back. This is done twice. What is the probability of getting exactly one red ball?",(A) 12/25,(B) 16/25,(C) 4/25,(D) 8/25,(A) 12/25
Probability,Hard,A fair coin is tossed 8 times. What is the probability of getting at least one head?,(A) 127/128,(B) 63/128,(C) 1/2,(D) 7/8,(A) 127/128
Probability,Hard,Three friends randomly sit in a row. What is the probability that they sit in alphabetical order?,(A) 1/3,(B) 1/6,(C) 1/2,(D) 2/5,(B) 1/6
Probability,Hard,A number is chosen randomly from 1 to 50. What is the probability that it is divisible by 5 or 7?,(A) 2/5,(B) 1/4,(C) 11/50,(D) 13/50,(D) 13/50
Probability,Hard,"A company has 8 managers and 10 employees. If a committee of 3 is chosen at random, what is the probability that it has at least one manager?",(A) 15/17,(B) 5/17,(C) 12/17,(D) 7/17,(A) 15/17
Probability,Hard,"If two fair dice are rolled, what is the probability that the sum is a prime number?",(A) 5/12,(B) 7/18,(C) 9/25,(D) 3/8,(A) 5/12
Probability,Hard,A group of 5 people are randomly seated in a row. What is the probability that two specific people sit together?,(A) 2/5,(B) 3/5,(C) 4/5,(D) 1/2,(B) 3/5
Probability,Hard,"A box contains 3 defective and 7 non-defective bulbs. If two are drawn randomly, what is the probability that both are defective?",(A) 3/10,(B) 1/15,(C) 1/5,(D) 3/25,(B) 1/15
Probability,Hard,A committee of 3 people is chosen from 5 men and 3 women. What is the probability that the committee includes at least one woman?,(A) 4/5,(B) 5/7,(C) 6/7,(D) 7/8,(C) 6/7
Probability,Hard,"A bag contains 6 red, 8 blue, and 10 green balls. If two balls are drawn without replacement, what is the probability that one is red and the other is blue?",(A) 24/112,(B) 30/112,(C) 48/112,(D) 60/112,(B) 30/112
Probability,Hard,"In a deck of 52 cards, what is the probability of drawing a red card or a face card?",(A) 1/2,(B) 3/13,(C) 1/4,(D) 25/52,(D) 25/52
Probability,Hard,"A box contains 5 white, 5 black, and 5 yellow balls. If 3 balls are drawn without replacement, what is the probability that all 3 balls are of the same color?",(A) 1/22,(B) 1/11,(C) 3/22,(D) 1/7,(A) 1/22
Probability,Hard,"A jar contains 6 red, 5 green, and 9 blue marbles. If 4 marbles are drawn randomly, what is the probability that exactly two of them are red?",(A) 15/66,(B) 10/66,(C) 5/66,(D) 25/66,(B) 10/66
Probability,Hard,A person randomly selects 3 out of 5 red balls and 4 out of 6 green balls. What is the probability that the selected red balls are all from the same box?,(A) 1/4,(B) 1/2,(C) 3/5,(D) 1/5,(D) 1/5
Probability,Hard,A coin is tossed 6 times. What is the probability that exactly 2 heads are obtained?,(A) 15/64,(B) 10/64,(C) 6/64,(D) 20/64,(B) 10/64
Probability,Hard,"A bag contains 10 red, 15 green, and 25 yellow balls. What is the probability of drawing 2 yellow balls in succession without replacement?",(A) 5/13,(B) 1/6,(C) 2/13,(D) 3/13,(C) 2/13
Probability,Hard,"A spinner has 5 equal sectors: red, blue, green, yellow, and purple. What is the probability of landing on red or blue?",(A) 1/2,(B) 1/3,(C) 2/5,(D) 1/5,(C) 2/5
Probability,Hard,"A box contains 4 red, 3 blue, and 5 green balls. If 4 balls are drawn at random, what is the probability that exactly two are red?",(A) 9/56,(B) 7/56,(C) 5/56,(D) 3/56,(A) 9/56
Probability,Hard,"In a group of 20 people, 8 are wearing glasses and 12 are not. What is the probability that two randomly selected people are both wearing glasses?",(A) 2/19,(B) 4/19,(C) 5/19,(D) 7/19,(A) 2/19
Probability,Hard,A committee of 5 people is formed from a group of 10 men and 15 women. What is the probability that the committee has exactly 3 men?,(A) 10/85,(B) 15/85,(C) 25/85,(D) 35/85,(C) 25/85
Probability,Hard,A die is rolled 4 times. What is the probability that the first roll is a 1 and the remaining rolls are not 1?,(A) 1/16,(B) 1/81,(C) 1/36,(D) 1/6,(B) 1/81
Probability,Hard,A deck contains 52 cards. What is the probability of drawing exactly 3 red cards in a row without replacement?,(A) 0.019,(B) 0.021,(C) 0.023,(D) 0.025,(A) 0.019
Probability,Hard,"A bag contains 10 white, 8 black, and 12 blue balls. Two balls are drawn at random. What is the probability that one ball is black and the other is blue?",(A) 8/90,(B) 6/90,(C) 10/90,(D) 12/90,(A) 8/90
Probability,Hard,"In a box of 1000 balls, 250 are red, 500 are green, and 250 are blue. If 3 balls are drawn without replacement, what is the probability that all 3 are green?",(A) 0.12,(B) 0.15,(C) 0.18,(D) 0.2,(B) 0.15
Probability,Hard,"A lottery has 1000 tickets, and 3 tickets will be drawn. What is the probability that a specific person wins the lottery?",(A) 3/1000,(B) 1/1000,(C) 1/500,(D) 1/100,(A) 3/1000
Probability,Hard,A group of 6 people is to be seated in a row. What is the probability that two specific people are seated next to each other?,(A) 1/6,(B) 1/5,(C) 1/4,(D) 1/3,(B) 1/5
Probability,Medium,Two cards are drawn from a standard deck without replacement. What is the probability that both are aces?,(A) 1/221,(B) 1/13,(C) 1/26,(D) 2/51,(A) 1/221
Probability,Medium,A coin is tossed five times. What is the probability of getting at least one head?,(A) 31/32,(B) 1/2,(C) 3/4,(D) 5/8,(A) 31/32
Probability,Medium,Two fair dice are rolled. What is the probability of getting a sum of 10?,(A) 3/36,(B) 4/36,(C) 5/36,(D) 6/36,(B) 3/36
Probability,Medium,A fair coin is flipped 5 times. What is the probability of getting all heads?,(A) 1/32,(B) 1/16,(C) 1/8,(D) 1/64,(A) 1/32
Probability,Medium,"If a number is randomly selected from 1 to 100, what is the probability of selecting a multiple of 7?",(A) 14/100,(B) 1/7,(C) 15/100,(D) 7/100,(B) 1/7
Probability,Medium,A card is drawn from a standard deck. What is the probability of drawing a non-face card?,(A) 10/13,(B) 1/2,(C) 3/13,(D) 1/4,(A) 10/13
Probability,Medium,Two dice are rolled. What is the probability that at least one die shows a 3?,(A) 11/36,(B) 7/36,(C) 8/36,(D) 5/36,(A) 11/36
Probability,Medium,A bag contains 8 white and 4 black balls. Two balls are drawn randomly. What is the probability that both are white?,(A) 14/33,(B) 16/33,(C) 8/33,(D) 10/33,(B) 16/33
Probability,Medium,A fair die is rolled twice. What is the probability of getting at least one even number?,(A) 3/4,(B) 1/2,(C) 2/3,(D) 5/6,(A) 3/4
Probability,Medium,Three coins are tossed. What is the probability of getting at least one tail?,(A) 7/8,(B) 5/8,(C) 3/4,(D) 1/2,(A) 7/8
Probability,Medium,A fair die is rolled twice. What is the probability of getting a sum of 8?,(A) 5/36,(B) 4/36,(C) 6/36,(D) 3/36,(A) 5/36
Probability,Medium,"In a deck of 52 cards, what is the probability of drawing a King or a Queen?",(A) 2/13,(B) 1/13,(C) 3/13,(D) 1/26,(A) 2/13
Probability,Medium,A coin is tossed 4 times. What is the probability of getting exactly two heads?,(A) 6/16,(B) 4/16,(C) 3/8,(D) 5/16,(A) 6/16
Probability,Medium,"A bag contains 3 white, 4 black, and 5 red balls. What is the probability of drawing a black or red ball?",(A) 9/12,(B) 7/12,(C) 5/12,(D) 4/12,(A) 9/12
Probability,Medium,A fair die is rolled three times. What is the probability of getting at least one '6'?,(A) 91/216,(B) 125/216,(C) 81/216,(D) 1/3,(B) 125/216
Probability,Medium,"In a class of 40 students, 25 are boys. If a student is randomly selected, what is the probability that the student is a girl?",(A) 15/40,(B) 1/2,(C) 3/8,(D) 5/8,(A) 15/40
Probability,Medium,A group of 6 people is to be seated in a row. What is the probability that two specific people are seated next to each other?,(A) 1/6,(B) 1/5,(C) 1/4,(D) 1/3,(B) 1/5
Probability,Medium,"In a lottery, 5 tickets are sold, and 2 of them are winning tickets. What is the probability that one specific ticket is a winning ticket?",(A) 1/5,(B) 1/2,(C) 2/5,(D) 1/3,(A) 1/5
Probability,Medium,"A box contains 3 red balls, 4 green balls, and 5 blue balls. What is the probability of drawing a green ball?",(A) 4/12,(B) 1/3,(C) 1/4,(D) 1/2,(A) 4/12
Probability,Medium,What is the probability of getting a sum of 7 when rolling two fair dice?,(A) 1/6,(B) 1/8,(C) 1/12,(D) 1/36,(A) 1/6
Probability,Medium,"If a coin is tossed 3 times, what is the probability of getting exactly two heads?",(A) 3/8,(B) 1/2,(C) 1/4,(D) 1/6,(A) 3/8
Probability,Medium,"In a deck of 52 cards, what is the probability of drawing a Queen?",(A) 1/13,(B) 1/52,(C) 1/4,(D) 1/12,(A) 1/13
Probability,Medium,A die is rolled. What is the probability of getting a number greater than 4?,(A) 1/3,(B) 1/2,(C) 1/6,(D) 1/4,(A) 1/3
Probability,Medium,"In a bag of 10 balls, 4 are red, 3 are blue, and 3 are green. What is the probability of drawing a blue ball?",(A) 3/10,(B) 2/5,(C) 1/3,(D) 1/5,(A) 3/10
Probability,Medium,"If you pick two cards at random from a deck of 52 cards, what is the probability that both cards are aces?",(A) 1/221,(B) 1/1326,(C) 1/169,(D) 1/1692,(A) 1/221
Probability,Medium,"A bag contains 5 red balls and 5 black balls. If two balls are drawn without replacement, what is the probability that both are red?",(A) 1/10,(B) 5/45,(C) 4/45,(D) 1/9,(C) 4/45
Probability,Medium,"A box contains 10 red balls, 6 blue balls, and 4 green balls. What is the probability of drawing a red ball?",(A) 10/20,(B) 1/2,(C) 1/5,(D) 1/3,(A) 10/20
Probability,Medium,"In a pack of 52 cards, what is the probability of drawing a card that is either a Jack or a heart?",(A) 4/52,(B) 17/52,(C) 13/52,(D) 1/52,(B) 17/52
Probability,Medium,"A jar contains 5 red marbles, 8 green marbles, and 3 blue marbles. If one marble is drawn at random, what is the probability it is not blue?",(A) 8/16,(B) 12/16,(C) 11/16,(D) 7/16,(C) 11/16
Probability,Medium,What is the probability of rolling an even number on a fair 6-sided die?,(A) 1/6,(B) 1/3,(C) 1/2,(D) 1/4,(C) 1/2
Probability,Medium,"If you roll two dice, what is the probability of getting a sum of 8?",(A) 5/36,(B) 1/12,(C) 1/6,(D) 1/8,(A) 5/36
Probability,Medium,"In a group of 10 people, what is the probability that 2 people will share the same birthday?",(A) 1/365,(B) 1/100,(C) 1/2,(D) 1/23,(D) 1/23
Probability,Medium,"A bag contains 4 yellow, 3 red, and 2 green balls. If two balls are drawn at random, what is the probability both are yellow?",(A) 4/36,(B) 1/15,(C) 6/36,(D) 2/9,(A) 4/36
Probability,Medium,"A box contains 5 black balls, 3 white balls, and 2 red balls. What is the probability of picking a white or black ball?",(A) 8/10,(B) 5/10,(C) 7/10,(D) 9/10,(C) 7/10
Probability,Medium,"In a game of dice, you roll a fair die. What is the probability of rolling a number greater than 4?",(A) 1/6,(B) 2/6,(C) 1/3,(D) 1/2,(C) 1/3
Quadratic Equations,Easy,The standard form of a quadratic equation is:,(A) ax^2 + bx + c = 0,(B) ax + b = 0,(C) ax^2 + bx = 0,(D) ax^2 + c = 0,(A) ax^2 + bx + c = 0
Quadratic Equations,Easy,The roots of x^2 - 12x + 35 = 0 are:,(A) 5 and 7,(B) -5 and -7,(C) 5 and -7,(D) -5 and 7,(A) 5 and 7
Quadratic Equations,Easy,If D = 0 the roots are:,(A) Real and equal,(B) Real and unequal,(C) Imaginary,(D) Cannot be determined,(A) Real and equal
Quadratic Equations,Easy,The quadratic equation with roots -1 and 4 is:,(A) x^2 - 3x - 4 = 0,(B) x^2 + 3x - 4 = 0,(C) x^2 - 3x + 4 = 0,(D) x^2 + 3x + 4 = 0,(A) x^2 - 3x - 4 = 0
Quadratic Equations,Easy,For equal roots the discriminant is:,(A) Zero,(B) Positive,(C) Negative,(D) Any real number,(A) Zero
Quadratic Equations,Easy,The roots of x^2 + 10x + 21 = 0 are:,(A) -3 and -7,(B) 3 and 7,(C) 3 and -7,(D) -3 and 7,(A) -3 and -7
Quadratic Equations,Easy,If one root of 3x^2 + kx - 2 = 0 is 1 k is:,(A) -1,(B) -2,(C) 1,(D) 2,(A) -1
Quadratic Equations,Easy,The sum of roots of 5x^2 - 6x + 1 = 0 is:,(A) 1.2,(B) -1.2,(C) 0.2,(D) -0.2,(A) 1.2
Quadratic Equations,Easy,The product of roots of 2x^2 + 9x - 5 = 0 is:,(A) -2.5,(B) 2.5,(C) 4.5,(D) -4.5,(A) -2.5
Quadratic Equations,Easy,If D < 0 the roots are:,(A) Imaginary,(B) Real and equal,(C) Real and unequal,(D) Cannot be determined,(A) Imaginary
Quadratic Equations,Easy,The roots of x^2 - 14x + 49 = 0 are:,(A) Real and equal,(B) Real and unequal,(C) Imaginary,(D) None of these,(A) Real and equal
Quadratic Equations,Easy,The roots of x^2 - 13x + 40 = 0 are:,(A) 5 and 8,(B) -5 and -8,(C) 5 and -8,(D) -5 and 8,(A) 5 and 8
Quadratic Equations,Easy,If the discriminant of a quadratic equation is zero the roots are:,(A) Real and equal,(B) Real and unequal,(C) Imaginary,(D) Cannot be determined,(A) Real and equal
Quadratic Equations,Easy,The quadratic equation whose roots are -3 and -4 is:,(A) x^2 + 7x + 12 = 0,(B) x^2 - 7x + 12 = 0,(C) x^2 + x + 12 = 0,(D) x^2 - x + 12 = 0,(A) x^2 + 7x + 12 = 0
Quadratic Equations,Easy,The roots of x^2 + 11x + 30 = 0 are:,(A) -5 and -6,(B) 5 and 6,(C) 5 and -6,(D) -5 and 6,(A) -5 and -6
Quadratic Equations,Easy,If one root of the equation 5x^2 + kx - 4 = 0 is -1 then the value of k is:,(A) 1,(B) -1,(C) 9,(D) -9,(A) 1
Quadratic Equations,Easy,If x^2 + 7x + 10 = 0 what is the value of x + 2?,(A) -3 or -5,(B) 3 or 5,(C) -3 or 5,(D) 3 or -5,(A) -3 or -5
Quadratic Equations,Easy,The roots of the equation 3x^2 - 10x + 3 = 0 are:,(A) 1/3 and 3,(B) 1/3 and -3,(C) -1/3 and 3,(D) -1/3 and -3,(A) 1/3 and 3
Quadratic Equations,Easy,If x^2 - 6x + k = 0 has equal roots what is the value of k?,(A) 9,(B) -9,(C) 3,(D) -3,(A) 9
Quadratic Equations,Easy,What are the solutions to the equation |x^2 - 4| = 0?,(A) -2 and 2,(B) 2 and -2 and 0,(C) 2 and -2 and 4,(D) 4,(A) -2 and 2
Quadratic Equations,Easy,If the length of a rectangle is represented by x + 3 and the width by x - 1 and the area is 0 what is the value of x?,(A) 1 or -3,(B) -1 or 3,(C) 1 or 3,(D) -1 or -3,(A) 1 or -3
Quadratic Equations,Easy,The roots of the equation x(x-5) = 14 are: ,(A) 7 and -2,(B) -7 and 2,(C) 7 and 2,(D) -7 and -2,(A) 7 and -2
Quadratic Equations,Easy,If x^2 + bx + c = 0 has roots 3 and -4 what are the values of b and c?,"(A) b = 1, c = -12","(B) b = -1, c = -12","(C) b = 1, c = 12","(D) b = -1, c = 12","(A) b = -1, c = -12"
Quadratic Equations,Easy,If x^2 - 9x + 14 = 0 what is the smaller value of x?,(A) 2,(B) 7,(C) 9,(D) 14,(A) 2
Quadratic Equations,Easy,The solutions to the equation (x-3)^2 = 16 are:,(A) 7 and -1,(B) 7 and 1,(C) -7 and -1,(D) -7 and 1,(A) 7 and -1
Quadratic Equations,Easy,What value of k makes x^2 + 12x + k a perfect square trinomial?,(A) 36,(B) 144,(C) 72,(D) 24,(A) 36
Quadratic Equations,Easy,The roots of the equation x^2 - 3x - 18 = 0 are:,(A) -3 and 6,(B) 3 and -6,(C) 3 and 6,(D) -3 and -6,(A) -3 and 6
Quadratic Equations,Easy,If the area of a square is represented by x^2 + 8x + 16 what is the length of one side?,(A) x + 4,(B) x - 4,(C) x + 16,(D) x - 16,(A) x + 4
Quadratic Equations,Easy,What are the x-intercepts of the graph of y = x^2 - 5x + 6?,(A) 2 and 3,(B) -2 and -3,(C) 2 and -3,(D) -2 and 3,(A) 2 and 3
Quadratic Equations,Easy,If x^2 + px + q = 0 has roots -1 and -6 what is the value of p + q?,(A) 13,(B) -13,(C) 7,(D) -7,(A) 13
Quadratic Equations,Easy,The solutions to the equation |x-2| = 5 are:,(A) 7 and -3,(B) 7 and 3,(C) -7 and -3,(D) -7 and 3,(A) 7 and -3
Quadratic Equations,Easy,What is the product of the roots of the equation 3x^2 - 11x + 6 = 0?,(A) 2,(B) 6,(C) -6,(D) -2,(A) 2
Quadratic Equations,Easy,If one root of the equation x^2 + kx - 15 = 0 is 3 what is the value of k?,(A) -2,(B) 2,(C) -8,(D) 8,(A) -2
Quadratic Equations,Easy,The roots of the equation x^2 + 5x - 14 = 0 are:,(A) -7 and 2,(B) 7 and -2,(C) 7 and 2,(D) -7 and -2,(A) -7 and 2
Quadratic Equations,Easy,What value of c makes x^2 + 10x + c a perfect square trinomial?,(A) 25,(B) 100,(C) 50,(D) 20,(A) 25
Quadratic Equations,Easy,The sum of the roots of the equation 6x^2 - 7x + 2 = 0 is:,(A) 45815,(B) -1.16666666666667,(C) 45810,(D) -0.333333333333333,(A) 7/6
Quadratic Equations,Easy,The product of the roots of the equation 5x^2 - 6x + 1 = 0 is:,(A) 45778,(B) -0.2,(C) 45783,(D) -1.2,(A) 1/5
Quadratic Equations,Easy,If the roots of a quadratic equation are imaginary then the discriminant is:,(A) Negative,(B) Zero,(C) Positive,(D) Any real number,(A) Negative
Quadratic Equations,Easy,The roots of the equation x^2 - 10x + 25 = 0 are:,(A) Real and equal,(B) Real and unequal,(C) Imaginary,(D) None of these,(A) Real and equal
Quadratic Equations,Easy,The value of 'n' for which the equation x^2 + nx + 36 = 0 has equal roots is:,(A) ±12,(B) 12,(C) -12,(D) 6,(A) ±12
Quadratic Equations,Easy,The roots of the equation x^2 - 5x - 24 = 0 are:,(A) 8 and -3,(B) -8 and 3,(C) 8 and 3,(D) -8 and -3,(A) 8 and -3
Quadratic Equations,Easy,If Î± and Î² are the roots of the equation 4x^2 - 7x + 3 = 0 then Î± + Î² is:,(A) 45754,(B) -1.75,(C) 45750,(D) -0.75,(A) 7/4
Quadratic Equations,Easy,If Î± and Î² are the roots of the equation x^2 + 9x + 14 = 0 then Î±Î² is:,(A) 14,(B) -14,(C) 9,(D) -9,(A) 14
Quadratic Equations,Easy,The quadratic equation whose roots are 3 and -8 is:,(A) x^2 + 5x - 24 = 0,(B) x^2 - 5x - 24 = 0,(C) x^2 + 11x - 24 = 0,(D) x^2 - 11x - 24 = 0,(A) x^2 + 5x - 24 = 0
Quadratic Equations,Easy,The sum of the roots of a quadratic equation is 4 and the product is -21. The equation is:,(A) x^2 - 4x - 21 = 0,(B) x^2 + 4x - 21 = 0,(C) x^2 - 4x + 21 = 0,(D) x^2 + 4x + 21 = 0,(A) x^2 - 4x - 21 = 0
Quadratic Equations,Easy,The roots of the equation 8x^2 + 10x - 3 = 0 are:,(A) 1/4 and -3/2,(B) -1/4 and 3/2,(C) 1 and -3/4,(D) -1 and 3/4,(A) 1/4 and -3/2
Quadratic Equations,Easy,For what 'q' does x^2 - 8x + q = 0 have equal roots?:,(A) 16,(B) 4,(C) -4,(D) -16,(A) 16
Quadratic Equations,Easy,The roots of the equation x(x-6) = 0 are:,(A) 0 and 6,(B) 0 and -6,(C) 1 and 6,(D) 1 and -6,(A) 0 and 6
Quadratic Equations,Easy,The value of 'k' for which x^2 + kx + 25 = 0 has equal roots is:,(A) ±10,(B) 10,(C) -10,(D) 5,(A) ±10
Quadratic Equations,Easy,The roots of x^2 - 4x - 12 = 0 are:,(A) 6 and -2,(B) -6 and 2,(C) 6 and 2,(D) -6 and -2,(A) 6 and -2
Quadratic Equations,Easy,If a and b are roots of 4x^2 - 5x + 1 = 0 a + b =:,(A) 1.25,(B) -1.25,(C) 0.25,(D) -0.25,(A) 1.25
Quadratic Equations,Easy,If a and b are roots of x^2 + 8x + 15 = 0 a + b =:,(A) 15,(B) -15,(C) 8,(D) -8,(A) 15
Quadratic Equations,Easy,The quadratic equation with roots -2 and 6 is:,(A) x^2 - 4x - 12 = 0,(B) x^2 + 4x - 12 = 0,(C) x^2 - 8x - 12 = 0,(D) x^2 + 8x - 12 = 0,(A) x^2 - 4x - 12 = 0
Quadratic Equations,Easy,Sum of roots is 7 product is 10. The equation is:,(A) x^2 - 7x + 10 = 0,(B) x^2 + 7x + 10 = 0,(C) x^2 - 10x + 7 = 0,(D) x^2 + 10x + 7 = 0,(A) x^2 - 7x + 10 = 0
Quadratic Equations,Easy,The roots of 7x^2 + 11x - 6 = 0 are:,(A) 2/7 and -3,(B) -2/7 and 3,(C) 2 and -3/7,(D) -2 and 3/7,(A) 2/7 and -3
Quadratic Equations,Easy,For what 'm' does x^2 - mx + 9 = 0 have equal roots?:,(A) ±6,(B) 6,(C) -6,(D) 3,(A) ±6
Quadratic Equations,Hard,Let f(x) = x^2 + ax + b. If f(1) = -1 and f(2) = 1 what is the value of a + b?,(A) 1,(B) -1,(C) 2,(D) -2,(A) -1
Quadratic Equations,Hard,The roots of the equation 2^(x+2) + 2^(2-x) = 17/2 are:,(A) 1 and -1,(B) 2 and -2,(C) 1 and 2,(D) -1 and -2,(A) 1 and -1
Quadratic Equations,Hard,The value of 'k' for which the equation (k-1)x^2 - 10x + 3 = 0 has equal roots is:,(A) 3,(B) 4,(C) 7,(D) -4,(A) 4
Quadratic Equations,Hard,If the roots of the equation x^2 - ax - b = 0 are real and unequal then the roots of x^2 - ax + b^3 = 0 are:,(A) Real and unequal,(B) Real and equal,(C) Imaginary,(D) Cannot be determined,(A) Real and unequal
Quadratic Equations,Hard,The sum of the roots of a quadratic equation is 5 and the sum of their cubes is 35. The equation is:,(A) x^2 - 5x + 6 = 0,(B) x^2 - 5x + 4 = 0,(C) x^2 - 5x + 24 = 0,(D) x^2 - 5x + 10 = 0,(A) x^2 - 5x + 6 = 0
Quadratic Equations,Hard,If one root of the equation x^2 + px + q = 0 is the square of the other then:,(A) p^3 - 3pq + q = 0,(B) p^3 + 3pq + q = 0,(C) p^3 - 3pq - q = 0,(D) p^3 + 3pq - q = 0,(A) p^3 - 3pq + q = 0
Quadratic Equations,Hard,The value of 'k' for which the equation (k-12)x^2 + 2(k-12)x + 2 = 0 has equal roots is:,(A) 14,(B) 12,(C) 10,(D) 8,(A) 14
Quadratic Equations,Hard,If the roots of the equation (a-B)x^2 + (b-C)x + (c-A) = 0 are equal then:,(A) 2a = b + c,(B) a + c = 2b,(C) a = b = c,(D) None of these,(A) 2a = b + c
Quadratic Equations,Hard,If the equation (c^2 - aB)x^2 - 2(a^2 - bC)x + b^2 - ac = 0 has equal roots then:,(A) a = 0 or a^3 + b^3 + c^3 = 3abc,(B) a = 0 or a + b + c = 0,(C) a = b = c,(D) None of these,(A) a = 0 or a^3 + b^3 + c^3 = 3abc
Quadratic Equations,Hard,The roots of the equation a(b-C)x^2 + b(c-A)x + c(a-B) = 0 are:,(A) 1 and c/a,(B) 1 and a/c,(C) 1 and b/a,(D) 1 and a/b,(A) 1 and c/a
Quadratic Equations,Hard,If the sum of the roots of a quadratic equation is equal to the product of the roots then the equation is:,(A) x^2 - ax + a = 0,(B) x^2 + ax - a = 0,(C) x^2 - ax - a = 0,(D) x^2 + ax + a = 0,(A) x^2 - ax + a = 0
