Question,Option A,Option B,Option C,Option D,Correct Option,Generated MCQ,Difficulty,Chapter
Two dice are rolled. What is the probability that their sum is greater than 8?,5/18,13/36,7/36,1/3,(B),"Explanation: The probability of getting a sum greater than 8 is 13/36, since there are 3 ways to roll two dice that give an aggregate of 8 or more: {(6,2), (5,3), (4,4)} .",Hard,Probability
"A school has 60% boys and 40% girls. If a student is chosen at random, what is the probability that it is a girl?",2/5,3/5,1/2,3/4,(A),"Explanation:
The total number of students in the school is 60% boys + 40% girls = 60 + 40 = 100.
Since a student is chosen at random, there are 100 students to choose from, and since there are more boys than girls, the probability that the student chosen is a boy is 60/100 = 2/5.
Therefore, the probability that the student chosen is a girl is (40/100) = 1/5 = (A).",Hard,Probability
"In a deck of 52 cards, what is the probability of drawing a face card (King, Queen, or Jack)?",3/13,1/4,1/3,5/12,(A),Please choose the answer you think is correct.,Hard,Probability
A coin is tossed 4 times. What is the probability of getting exactly 3 heads?,3/16,1/4,1/2,5/16,(D),"Explanation: The probability of getting exactly 3 heads in 4 coin tosses is 5/16, which is the same as the probability of getting exactly 3 successes in 4 trials of a binomial distribution with n = 4 and p = 0.5 (the probability of getting a head on each toss).",Hard,Probability
Three cards are drawn from a standard deck of 52. What is the probability that all three are Aces?,1/5525,1/221,1/1325,1/5000,(B),"Explanation: The probability of drawing an Ace is 4/52, or 1/22. Since three independent draws are made, the probability of all three being Aces is (1/22)^3 = 1/221.",Hard,Probability
A family has three children. What is the probability that at least one of them is a boy?,1/4,3/4,7/8,1/2,(C),"Explanation: If there are three children in the family, there are 3x3 = 9 possible combinations. Of these combinations, exactly one includes two boys and one girl. So, the probability of at least one child being a boy is 1/9 = 1/8.",Hard,Probability
"A bag contains 3 white, 5 black, and 7 red balls. Two balls are drawn at random. What is the probability that they are of different colors?",37/49,25/49,12/49,15/49,(A),"Explanation:
The probability of drawing a white ball is 3/49, the probability of drawing a black ball is 5/49, and the probability of drawing a red ball is 7/49. Since we are drawing two balls at random, the probability that they are of different colors is (3/49) × (5/49) = 37/49.
Therefore, the correct answer is (A) 37/49.",Hard,Probability
"A school has 40 students in a class, 25 of whom are boys. If two students are chosen at random, what is the probability that both are boys?",3/5,5/13,4/7,12/23,(B),"Explanation:
To find the probability that both students are boys, we need to count the number of boys in the class and divide by the total number of students. Since there are 25 boys out of 40 students, the probability is 25/80 or 1/3. Therefore, the correct answer is (B) 5/13.",Hard,Probability
"A box contains 4 red and 6 black balls. A ball is drawn, its color is noted, and it is put back. This is done twice. What is the probability of getting exactly one red ball?",12/25,16/25,4/25,8/25,(A),Explanation: The probability of getting exactly one red ball is 12/25 because there are 4 red balls in total and you drew two balls without replacing them.,Hard,Probability
A fair coin is tossed 8 times. What is the probability of getting at least one head?,127/128,63/128,1/2,7/8,(A),"Explanation:
The probability of getting at least one head in 8 coin tosses is 1 - probability of getting no heads.
So, we can use the binomial distribution formula: P(at least 1 head) = 1 - P(no heads).
The probability of getting no heads is 8/28, so:
P(at least 1 head) = 1 - (8/28) = 20/28.
Therefore, the answer is (A) 127/128.",Hard,Probability
Three friends randomly sit in a row. What is the probability that they sit in alphabetical order?,1/3,1/6,1/2,2/5,(B),"Explanation: Three friends randomly sit in a row, the probability that they sit in alphabetical order is 1/6. This is because there are 6 possible arrangements of the letters A, B, and C in a row, but only one of them is in alphabetical order (ABC).",Hard,Probability
A number is chosen randomly from 1 to 50. What is the probability that it is divisible by 5 or 7?,2/5,1/4,11/50,13/50,(D),"Explanation: The probability of a number being divisible by 5 or 7 is equal to the sum of the probabilities of it being divisible by each of those numbers. Therefore, the probability is (1/2) + (1/7) = 13/50.",Hard,Probability
"A company has 8 managers and 10 employees. If a committee of 3 is chosen at random, what is the probability that it has at least one manager?",15/17,5/17,12/17,7/17,(A),"Explanation: The probability of selecting a manager is 8/17, and the probability of selecting at least one manager is therefore 8/17.
Alternatively, you can generate a fill-in-the-blank question in this format:
    Question: A company has 8 managers and 10 employees. If a committee of 3 is chosen at random, what is the probability that it has at least one _____________?
    (A) Manager
    (B) Employee
    (C) Committee member
    (D) Director
    Correct Answer: (A) Manager",Hard,Probability
"If two fair dice are rolled, what is the probability that the sum is a prime number?",5/12,7/18,9/25,3/8,(A),"Explanation:
The probability of getting a sum of a prime number is 1/2, since there are an equal number of ways to get a sum of a prime number and a non-prime number. Therefore, the answer is (A) 5/12.",Hard,Probability
A group of 5 people are randomly seated in a row. What is the probability that two specific people sit together?,2/5,3/5,4/5,1/2,(B),"Explanation:
The probability of two specific people sitting together is equal to the number of ways in which they can sit together divided by the total number of possible seating arrangements. In this case, there are 5! = 5 × 4 × 3 × 2 × 1 = 120 possible seating arrangements. Among these, there are 6 pairs of people who can sit together (AB, AC, AD, AE, AF, and AG). Therefore, the probability that two specific people sit together is:
Probability = Number of ways in which they can sit together / Total number of possible seating arrangements = 6 / 120 = 1/20 = 1/5 = B
So, the correct answer is (B) 3/5.",Hard,Probability
"A box contains 3 defective and 7 non-defective bulbs. If two are drawn randomly, what is the probability that both are defective?",3/10,1/15,1/5,3/25,(B),"Explanation: The probability of selecting a defective bulb is 3/10, and the probability of selecting a non-defective bulb is 7/10. When two are selected randomly, the probability of both being defective is (3/10) × (3/10) = 9/100, or 1/15. Therefore, the correct answer is (B) 1/15.",Hard,Probability
A committee of 3 people is chosen from 5 men and 3 women. What is the probability that the committee includes at least one woman?,4/5,5/7,6/7,7/8,(C),"Explanation: There are a total of 10 people in the group, including the 3 women. Therefore, the probability of selecting at least one woman is 6/10 or 60%.",Hard,Probability
"A bag contains 6 red, 8 blue, and 10 green balls. If two balls are drawn without replacement, what is the probability that one is red and the other is blue?",24/112,30/112,48/112,60/112,(B),Please choose the correct answer from the options above.,Hard,Probability
"In a deck of 52 cards, what is the probability of drawing a red card or a face card?",1/2,3/13,1/4,25/52,(D),You may need to round the answer to the nearest decimal point.,Hard,Probability
"A box contains 5 white, 5 black, and 5 yellow balls. If 3 balls are drawn without replacement, what is the probability that all 3 balls are of the same color?",1/22,1/11,3/22,1/7,(A),"Explanation: The probability of drawing a ball of any given color is 1/5, since there are 5 balls of each color in total. To find the probability that all 3 balls drawn without replacement are of the same color, we need to multiply the probabilities of drawing each ball of the same color:
P(all 3 balls are white) = P(white) × P(white) × P(white) = 1/5 × 1/5 × 1/5 = 1/22
Therefore, the correct answer is (A) 1/22.",Hard,Probability
"A jar contains 6 red, 5 green, and 9 blue marbles. If 4 marbles are drawn randomly, what is the probability that exactly two of them are red?",15/66,10/66,5/66,25/66,(B),Please choose the correct answer.,Hard,Probability
A person randomly selects 3 out of 5 red balls and 4 out of 6 green balls. What is the probability that the selected red balls are all from the same box?,1/4,1/2,3/5,1/5,(D),"Explanation: Since the person randomly selects 3 red balls, there are 5 possible boxes that they could have come from. Therefore, the probability that all 3 red balls came from the same box is 1/5 or (D).",Hard,Probability
A coin is tossed 6 times. What is the probability that exactly 2 heads are obtained?,15/64,10/64,6/64,20/64,(B),Explanation: The probability of getting exactly 2 heads in 6 coin tosses is (6C2)/(6 x 6) = 10/64.,Hard,Probability
"A bag contains 10 red, 15 green, and 25 yellow balls. What is the probability of drawing 2 yellow balls in succession without replacement?",5/13,1/6,2/13,3/13,(C),"Explanation:
The probability of drawing the first yellow ball is 25/80, and the probability of drawing the second yellow ball after drawing the first is 24/79, since there are 24 yellow balls left in the bag. Therefore, the probability of drawing 2 yellow balls in succession without replacement is 25/80 × 24/79 = 1/3 or 25%. So, the correct answer is (C) 25%.",Hard,Probability
"A spinner has 5 equal sectors: red, blue, green, yellow, and purple. What is the probability of landing on red or blue?",1/2,1/3,2/5,1/5,(C),"Explanation: The spinner has 5 equal sectors, so the probability of landing on any one sector is 1/5. Therefore, the probability of landing on red or blue is (1/5) + (1/5) = 2/5.",Hard,Probability
"A box contains 4 red, 3 blue, and 5 green balls. If 4 balls are drawn at random, what is the probability that exactly two are red?",9/56,7/56,5/56,3/56,(A),"Explanation: The probability of drawing a red ball on the first draw is 4/56. If no red balls are drawn on the first draw, the probability of drawing at least one red ball on the second draw is 3/55. Therefore, the probability of exactly two red balls being drawn is (4/56) × (3/55) = 9/56.",Hard,Probability
"In a group of 20 people, 8 are wearing glasses and 12 are not. What is the probability that two randomly selected people are both wearing glasses?",2/19,4/19,5/19,7/19,(A),"Explanation:
The probability of a person wearing glasses is 8/20 or 40%. So, to find the probability that two random people are both wearing glasses, we multiply the probability of each person wearing glasses by themselves. In other words, (0.4 \* 0.4) = 0.16 or 16%. Therefore, the answer is (A) 2/19.",Hard,Probability
A committee of 5 people is formed from a group of 10 men and 15 women. What is the probability that the committee has exactly 3 men?,10/85,15/85,25/85,35/85,(C),"Explanation:
The number of ways to choose 5 people from a group of 10 men is C(10,5) = 10.
The number of ways to choose 5 people from a group of 15 women is C(15,5) = 25.
Therefore, the total number of ways to form a committee of 5 people is:
10 + 25 = 35.
So, the probability that the committee has exactly 3 men is (35/85).",Hard,Probability
A die is rolled 4 times. What is the probability that the first roll is a 1 and the remaining rolls are not 1?,1/16,1/81,1/36,1/6,(B),"Explanation:
To solve this problem, we need to calculate the probability of the first roll being a 1, and then multiply that by the probability of the remaining rolls not being a 1. The probability of the first roll being a 1 is 1/6, since there are 6 possible outcomes for the first roll (1, 2, 3, 4, 5, or 6). Therefore, the probability of the first roll being a 1 and the remaining rolls not being a 1 is (1/6) x (5/6 - 1/6), where 5/6 represents the probability of the remaining rolls.
So, the answer is (B) 1/81.",Hard,Probability
A deck contains 52 cards. What is the probability of drawing exactly 3 red cards in a row without replacement?,0.019,0.021,0.023,0.025,(A),,Hard,Probability
"A bag contains 10 white, 8 black, and 12 blue balls. Two balls are drawn at random. What is the probability that one ball is black and the other is blue?",8/90,6/90,10/90,12/90,(A),"Explanation: The total number of balls in the bag is 10 + 8 + 12 = 30. So, the probability of drawing a black ball is 8/30 and the probability of drawing a blue ball is 12/30. Since the events are independent, the probability that one ball is black and the other is blue is (8/30) × (12/30) = 8/90.",Hard,Probability
"In a box of 1000 balls, 250 are red, 500 are green, and 250 are blue. If 3 balls are drawn without replacement, what is the probability that all 3 are green?",0.12,0.15,0.18,0.2,(B),"Explanation:
The probability of drawing a green ball on the first draw is 50%, since there are 500 green balls in total and 1000 balls in total.
The probability of drawing a green ball on the second draw is also 50%, since there are still 500 green balls left in the box after the first draw, and there are still 1000 balls in total.
The probability of drawing a green ball on the third draw is 25%, since there are now only 375 green balls left in the box (500 x 2 = 1000 - 500 = 375).
Therefore, the probability that all 3 balls drawn without replacement are green is (50% x 50% x 25%) = 0.15.
The answer is (B) 0.15.",Hard,Probability
"A lottery has 1000 tickets, and 3 tickets will be drawn. What is the probability that a specific person wins the lottery?",3/1000,1/1000,1/500,1/100,(A),"Explanation: The probability of a specific person winning the lottery is 3/1000 because there are 3 tickets being drawn, and each ticket has an equal chance of being selected.",Hard,Probability
A group of 6 people is to be seated in a row. What is the probability that two specific people are seated next to each other?,1/6,1/5,1/4,1/3,(B),"Explanation: In this case, there are 6 people in total, and they are to be seated in a row. Let's assume that the two specific people we want to find the probability of being seated next to each other are X and Y. Since there are 5 seats remaining, there is one chance in 5 for X to be seated next to Y, i.e., (B).",Hard,Probability
Two cards are drawn from a standard deck without replacement. What is the probability that both are aces?,1/221,1/13,1/26,2/51,(A),"Explanation: The probability of drawing an ace on the first card is 4/52, and the probability of drawing an ace on the second card is independent of the first draw, so the overall probability of drawing two aces is 4/52 times 39/51, or 1/221.",Medium,Probability
A coin is tossed five times. What is the probability of getting at least one head?,31/32,1/2,3/4,5/8,(A),"Explanation: The probability of getting a head on the first toss is 1/2. If the first toss is heads, then the probability of getting at least one head in the next four tosses is 1 - 1/2 = 1/4. Therefore, the probability of getting at least one head in five tosses is (1/4)^5 = 31/32.",Medium,Probability
Two fair dice are rolled. What is the probability of getting a sum of 10?,3/36,4/36,5/36,6/36,(B),"Explanation: The probability of getting a sum of 10 is 4/36, since there are 4 ways to roll a 6 and a 4, or 4 ways to roll a 5 and a 6.",Medium,Probability
A fair coin is flipped 5 times. What is the probability of getting all heads?,1/32,1/16,1/8,1/64,(A),Explanation: The probability of getting all heads in 5 flips of a fair coin is (1/2)^5 = 1/32.,Medium,Probability
"If a number is randomly selected from 1 to 100, what is the probability of selecting a multiple of 7?",14/100,1/7,15/100,7/100,(B),"Explanation:
To find the probability of selecting a multiple of 7, we need to divide the number of multiples of 7 by the total number of numbers. Since there are 100 numbers in total, and 28 of them are multiples of 7 (7 x 4 = 28), the probability is (28/100) or 1/7. Therefore, the correct answer is (B).",Medium,Probability
A card is drawn from a standard deck. What is the probability of drawing a non-face card?,10/13,1/2,3/13,1/4,(A),"Explanation: The probability of drawing a non-face card is 10/13, since there are 10 non-face cards in a standard deck (i.e., Ace through 9).",Medium,Probability
Two dice are rolled. What is the probability that at least one die shows a 3?,11/36,7/36,8/36,5/36,(A),"Explanation:
The probability of at least one die showing a 3 is the sum of the probabilities of each die showing a 3. Since there are two dice, the total number of possible outcomes is 36. Therefore, the probability of at least one die showing a 3 is 11/36.",Medium,Probability
A bag contains 8 white and 4 black balls. Two balls are drawn randomly. What is the probability that both are white?,14/33,16/33,8/33,10/33,(B),"Explanation: The probability of drawing a white ball on the first draw is 8/33, and the probability of drawing a white ball on the second draw is 7/32 (since one white ball has already been drawn). Therefore, the probability that both balls are white is (8/33) × (7/32) = 16/33.",Medium,Probability
A fair die is rolled twice. What is the probability of getting at least one even number?,3/4,1/2,2/3,5/6,(A),"Explanation: The probability of getting an even number on the first roll is 1/2, and the probability of getting an even number on the second roll is also 1/2. Since we are looking for at least one even number, we multiply these probabilities together to get a total probability of 1/4. Therefore, the answer is (A) 3/4.",Medium,Probability
Three coins are tossed. What is the probability of getting at least one tail?,7/8,5/8,3/4,1/2,(A),"Explanation: The probability of getting at least one tail is the sum of the probabilities of getting one tail and getting two tails. Since there are three coins, the probability of getting at least one tail is 3/8 = 7/8.",Medium,Probability
A fair die is rolled twice. What is the probability of getting a sum of 8?,5/36,4/36,6/36,3/36,(A),"The question has four options, and the correct answer is option (A): 5/36.",Medium,Probability
"In a deck of 52 cards, what is the probability of drawing a King or a Queen?",2/13,1/13,3/13,1/26,(A),"Explanation:
The probability of drawing a King or a Queen is 2/13, because there are 2 cards in the deck that are either a King or a Queen.",Medium,Probability
A coin is tossed 4 times. What is the probability of getting exactly two heads?,6/16,4/16,3/8,5/16,(A),"Explanation: The probability of getting exactly two heads in 4 coin tosses is 6/16. To calculate this, you can use the binomial distribution, which gives the number of ways to get exactly 2 heads out of 4 tosses as 6.",Medium,Probability
"A bag contains 3 white, 4 black, and 5 red balls. What is the probability of drawing a black or red ball?",9/12,7/12,5/12,4/12,(A),"To create the question, simply copy and paste the code into a text editor or IDE. You can then modify the values in the question to create different scenarios for the probability problem.",Medium,Probability
A fair die is rolled three times. What is the probability of getting at least one '6'?,91/216,125/216,81/216,1/3,(B),"Explanation:
The probability of getting at least one '6' is 1/3 since the die has three faces, each of which can land on any number including '6'. Therefore, the probability of getting at least one '6' is equal to 1/3.",Medium,Probability
"In a class of 40 students, 25 are boys. If a student is randomly selected, what is the probability that the student is a girl?",15/40,1/2,3/8,5/8,(A),"Explanation: There are 25 boys out of 40 students, so the probability that a randomly selected student is a boy is 25/40. Therefore, the probability that a randomly selected student is a girl is 40-25=15. So the answer is (A) 15/40.",Medium,Probability
A group of 6 people is to be seated in a row. What is the probability that two specific people are seated next to each other?,1/6,1/5,1/4,1/3,(B),"Explanation:
The probability of two specific people being seated next to each other is the number of ways they can be seated next to each other divided by the total number of possibilities. In this case, there are 6 possible seating positions (since there are 6 people in total). Let's assume that the two specific people we want to find the probability for are A and B. There are 5 ways that they can be seated next to each other (A-B-C-D-E-F, A-B-C-D-E-G, A-B-C-D-F-G, etc.), out of a total of 6\*5 = 30 possible arrangements. Therefore, the probability that A and B are seated next to each other is 5/30, or (B).",Medium,Probability
"In a lottery, 5 tickets are sold, and 2 of them are winning tickets. What is the probability that one specific ticket is a winning ticket?",1/5,1/2,2/5,1/3,(A),"Explanation:
In this question, there are 5 tickets in total, and 2 of them are winning tickets. To find the probability that one specific ticket is a winning ticket, we need to divide the number of winning tickets by the total number of tickets. In this case, there are 2 winning tickets out of 5 tickets, so the probability of any one ticket being a winner is 2/5 or 1/5. Therefore, the correct answer is (A) 1/5.",Medium,Probability
"A box contains 3 red balls, 4 green balls, and 5 blue balls. What is the probability of drawing a green ball?",4/12,1/3,1/4,1/2,(A),"Explanation: The total number of balls in the box is 3 + 4 + 5 = 12. There are 4 green balls out of 12, so the probability of drawing a green ball is 4/12.",Medium,Probability
What is the probability of getting a sum of 7 when rolling two fair dice?,1/6,1/8,1/12,1/36,(A),"This is an example of a question that requires the student to use their understanding of probability to calculate the answer. The question is designed to be challenging, but not impossible for the student to solve.",Medium,Probability
"If a coin is tossed 3 times, what is the probability of getting exactly two heads?",3/8,1/2,1/4,1/6,(A),"Explanation: If a coin is tossed 3 times, there are 8 possible outcomes: HHH, HHT, HTH, THH, TTH, TTT, HTT, THT, and HHH. Of these, exactly two heads occur in the following combinations: HHХ and THH. Therefore, the probability of getting exactly two heads is 3/8.",Medium,Probability
"In a deck of 52 cards, what is the probability of drawing a Queen?",1/13,1/52,1/4,1/12,(A),"Explanation: The probability of drawing a Queen in a deck of 52 cards is 1/13, because there are 13 Queens in a standard deck of 52 playing cards.",Medium,Probability
A die is rolled. What is the probability of getting a number greater than 4?,1/3,1/2,1/6,1/4,(A),"Explanation: The probability of getting a number greater than 4 on a single roll of a fair six-sided die is 1/3. This is because there are three numbers on the die that are greater than 4 (5, 6, and 7), and there are two numbers that are equal to or less than 4 (3 and 4). Therefore, the probability of getting a number greater than 4 is 1/3.",Medium,Probability
"In a bag of 10 balls, 4 are red, 3 are blue, and 3 are green. What is the probability of drawing a blue ball?",3/10,2/5,1/3,1/5,(A),"Explanation: The bag contains 4 red balls, which means there are 6 balls left that are not red. So, the probability of drawing a blue ball is 6/10 = 3/10.",Medium,Probability
"If you pick two cards at random from a deck of 52 cards, what is the probability that both cards are aces?",1/221,1/1326,1/169,1/1692,(A),"Explanation:
The probability of picking an ace as the first card is 4/52, and the probability of picking an ace as the second card is also 4/52. Therefore, the probability that both cards are aces is (4/52)^2 = 1/221.",Medium,Probability
"A bag contains 5 red balls and 5 black balls. If two balls are drawn without replacement, what is the probability that both are red?",1/10,5/45,4/45,1/9,(C),"Explanation:
The probability of drawing a red ball on the first draw is 5/10, since there are 5 red balls in total. On the second draw, there are only 4 red balls left, so the probability of drawing a red ball on the second draw is 4/9 = (C).",Medium,Probability
"A box contains 10 red balls, 6 blue balls, and 4 green balls. What is the probability of drawing a red ball?",10/20,1/2,1/5,1/3,(A),"To create the question, simply copy and paste the text into your question editor.",Medium,Probability
"In a pack of 52 cards, what is the probability of drawing a card that is either a Jack or a heart?",4/52,17/52,13/52,1/52,(B),"Explanation:
The probability of drawing a Jack is 4/52, and the probability of drawing a heart is also 4/52. Therefore, the probability of drawing a card that is either a Jack or a heart is 4/52 + 4/52 = 8/52 = 17/52.",Medium,Probability
"A jar contains 5 red marbles, 8 green marbles, and 3 blue marbles. If one marble is drawn at random, what is the probability it is not blue?",8/16,12/16,11/16,7/16,(C),"Rationale: Since there are 5 red marbles and 8 green marbles in the jar, the probability of drawing a red marble is 5/16. The probability of drawing a green marble is 8/16. There are only 3 blue marbles in the jar, so the probability of drawing a blue marble is 3/16. Therefore, the probability of drawing a marble that is not blue is 5/16 + 8/16 = 13/16.
     Note: This question assumes that the marbles are equally likely to be drawn from the jar. If this were not the case (e.g., the red marbles are more likely to be at the top of the jar), then the answer would be different.",Medium,Probability
What is the probability of rolling an even number on a fair 6-sided die?,1/6,1/3,1/2,1/4,(C),"Explanation: The probability of rolling an even number on a fair 6-sided die is 1/2, because there are 3 even numbers (2, 4, and 6) out of a total of 6 possible outcomes.",Medium,Probability
"If you roll two dice, what is the probability of getting a sum of 8?",5/36,1/12,1/6,1/8,(A),"In this case, you will be given a scenario where you have to determine the probability of getting a certain sum when rolling two dice. You will need to use your understanding of probability to choose the correct answer from the options provided.",Medium,Probability
"In a group of 10 people, what is the probability that 2 people will share the same birthday?",1/365,1/100,1/2,1/23,(D),"Explanation: The probability of two people sharing the same birthday is 1/23, since there are 23 possible pairs of people in a group of 10.",Medium,Probability
"A bag contains 4 yellow, 3 red, and 2 green balls. If two balls are drawn at random, what is the probability both are yellow?",4/36,1/15,6/36,2/9,(A),"The question asks for the probability of drawing two yellow balls from a bag containing 4 yellow, 3 red, and 2 green balls. The options are:
(A) 4/36 - This is the correct answer, as there are 4 yellow balls out of a total of 36 balls in the bag.
(B) 1/15 - This option is incorrect because there is only one yellow ball out of 15 balls.
(C) 6/36 - This option is also incorrect because there are only 4 yellow balls out of a total of 36 balls in the bag.
(D) 2/9 - This option is incorrect because there are only 2 green balls out of a total of 9 balls in the bag.",Medium,Probability
"A box contains 5 black balls, 3 white balls, and 2 red balls. What is the probability of picking a white or black ball?",8/10,5/10,7/10,9/10,(C),"Explanation:
The probability of picking a white or black ball is equal to the number of white and black balls divided by the total number of balls in the box. In this case, there are 3 white balls and 5 black balls, so the probability is 3/10. The correct answer is (C).",Medium,Probability
"In a game of dice, you roll a fair die. What is the probability of rolling a number greater than 4?",1/6,2/6,1/3,1/2,(C),"Explanation:
In a fair die, each number has an equal probability of occurring. There are six numbers on the die (1, 2, 3, 4, 5, and 6), so each number has a 1/6 chance of occurring. Since the number 4 is greater than 1, the probability of rolling a number greater than 4 is 1/6. Therefore, the correct answer is (C) 1/3.",Medium,Probability
The standard form of a quadratic equation is:,ax^2 + bx + c = 0,ax + b = 0,ax^2 + bx = 0,ax^2 + c = 0,(A),Please select the correct answer.,Easy,Quadratic Equations
The roots of x^2 - 12x + 35 = 0 are:,5 and 7,-5 and -7,5 and -7,-5 and 7,(A),"Then, create a second question in the same format:
Question: The equation y = x^2 + 4x - 10 has:
(A) one real solution
(B) two real solutions
(C) infinitely many real solutions
(D) no real solutions
Correct Answer: (B) two real solutions",Easy,Quadratic Equations
If D = 0 the roots are:,Real and equal,Real and unequal,Imaginary,Cannot be determined,(A),"Explanation:
    The equation $x^2 + 3x - 4 = 0$ factorises as $(x+2)(x-2) = 0$. When D=0, the equation has real roots. Therefore, the correct answer is (A) Real and equal.",Easy,Quadratic Equations
The quadratic equation with roots -1 and 4 is:,x^2 - 3x - 4 = 0,x^2 + 3x - 4 = 0,x^2 - 3x + 4 = 0,x^2 + 3x + 4 = 0,(A),,Easy,Quadratic Equations
For equal roots the discriminant is:,Zero,Positive,Negative,Any real number,(A),Please let me know if you would like me to generate another question.,Easy,Quadratic Equations
The roots of x^2 + 10x + 21 = 0 are:,-3 and -7,3 and 7,3 and -7,-3 and 7,(A),"Explanation:
The given equation x^2 + 10x + 21 = 0 can be factored as x(x + 10) = 0. Therefore, the roots are -3 and -7. So, the correct answer is (A).",Easy,Quadratic Equations
If one root of 3x^2 + kx - 2 = 0 is 1 k is:,-1,-2,1,2,(A),"Explanation:
The given equation can be factored as 3x^2 + kx - 2 = (3x + 1)(x - 2)/2. Therefore, the root of the equation is x = 1. So, the correct answer is (A) -1.",Easy,Quadratic Equations
The sum of roots of 5x^2 - 6x + 1 = 0 is:,1.2,-1.2,0.2,-0.2,(A),"This question will require the user to calculate the roots of a quadratic equation, which is a common type of math problem in high school algebra. The answer key will be provided at the end of the question.",Easy,Quadratic Equations
The product of roots of 2x^2 + 9x - 5 = 0 is:,-2.5,2.5,4.5,-4.5,(A),"The explanation for the correct answer will be:
To solve this equation, we can factor the left-hand side as:
2x^2 + 9x - 5 = (2x + 3)(x - 5/2) = 0
Therefore, the product of the roots is -2.5.
So, the correct answer is (A) -2.5",Easy,Quadratic Equations
If D < 0 the roots are:,Imaginary,Real and equal,Real and unequal,Cannot be determined,(A),"Explanation:
    When D is negative, the equation becomes:
    x^2 + 4 = (-D)
    The square root of -D is an imaginary number. Therefore, the roots of the equation are imaginary.",Easy,Quadratic Equations
The roots of x^2 - 14x + 49 = 0 are:,Real and equal,Real and unequal,Imaginary,None of these,(A),You may want to provide options with some reasoning.,Easy,Quadratic Equations
The roots of x^2 - 13x + 40 = 0 are:,5 and 8,-5 and -8,5 and -8,-5 and 8,(A),,Easy,Quadratic Equations
If the discriminant of a quadratic equation is zero the roots are:,Real and equal,Real and unequal,Imaginary,Cannot be determined,(A),"Explanation: 
    If the discriminant of a quadratic equation is zero, then the roots are real and equal. This is because the discriminant tells us whether the quadratic has two distinct real solutions, one repeated real solution, or no real solutions. When the discriminant is zero, the quadratic has two identical real solutions, so the answer is (A) Real and equal.",Easy,Quadratic Equations
The quadratic equation whose roots are -3 and -4 is:,x^2 + 7x + 12 = 0,x^2 - 7x + 12 = 0,x^2 + x + 12 = 0,x^2 - x + 12 = 0,(A),,Easy,Quadratic Equations
The roots of x^2 + 11x + 30 = 0 are:,-5 and -6,5 and 6,5 and -6,-5 and 6,(A),Instructions: Choose the correct answer from the options given.,Easy,Quadratic Equations
If one root of the equation 5x^2 + kx - 4 = 0 is -1 then the value of k is:,1,-1,9,-9,(A),"Explanation:
The given equation can be factored as 5x^2 + kx - 4 = (3x + 2)(x - 2) = 0. If one root is -1, then we can set x = -1 in the first factor and get 3(-1) + 2 = 0. So the value of k is 6.
Alternatively, if we substitute -1 as a root in the original equation, we get 5(-1)^2 + k(-1) - 4 = 0. Simplifying this equation, we get k = 6. Therefore, the correct answer is (A) 1.",Easy,Quadratic Equations
If x^2 + 7x + 10 = 0 what is the value of x + 2?,-3 or -5,3 or 5,-3 or 5,3 or -5,(A),"Explanation:
The given equation is a quadratic equation and can be factored as x^2 + 7x + 10 = (x + 3)(x + 3) = 0.
Therefore, the value of x + 2 is -3 or -5.
So, the correct answer is (A).",Easy,Quadratic Equations
The roots of the equation 3x^2 - 10x + 3 = 0 are:,1/3 and 3,1/3 and -3,-1/3 and 3,-1/3 and -3,(A),,Easy,Quadratic Equations
If x^2 - 6x + k = 0 has equal roots what is the value of k?,9,-9,3,-3,(A),"Explanation:
If x^2 - 6x + k = 0 has equal roots, then we can factor the equation as:
x^2 - 6x = (x - 3)(x + 2) = 0
Therefore, the value of k is 3. So, the correct answer is (C).",Easy,Quadratic Equations
What are the solutions to the equation |x^2 - 4| = 0?,-2 and 2,2 and -2 and 0,2 and -2 and 4,4,(A),Please choose the correct answer.,Easy,Quadratic Equations
If the length of a rectangle is represented by x + 3 and the width by x - 1 and the area is 0 what is the value of x?,1 or -3,-1 or 3,1 or 3,-1 or -3,(A),"Explanation: If the length of a rectangle is represented by x + 3, and the width is x- 1. then we know that L=x+3 = (x-1)^2, where L is the area of the rectangle. Therefore if the area of the rectangle is 0, then (x-1)^2 = 0, which simplifies to x = -1. Thus answer option(A) is the correct value. 
Your Turn to create another question like this!",Easy,Quadratic Equations
The roots of the equation x(x-5) = 14 are: ,7 and -2,-7 and 2,7 and 2,-7 and -2,(A),,Easy,Quadratic Equations
If x^2 + bx + c = 0 has roots 3 and -4 what are the values of b and c?,"b = 1, c = -12","b = -1, c = -12","b = 1, c = 12","b = -1, c = 12",(A),"Explanation:
The given equation x^2 + bx + c = 0 has roots 3 and -4. Subtracting 4 from both sides gives us x^2 + bx = -12. Now, we can factor the left-hand side as (x + 6)(x - 2) = 0. Therefore, x + 6 = 0 or x - 2 = 0. Solving for x, we get x = -6 and x = 2.
Now, let's check the values of b and c:
b = -1, c = -12 (B)
We can see that b = -1 and c = -12 satisfy the equation. Therefore, the correct answer is (B).",Easy,Quadratic Equations
If x^2 - 9x + 14 = 0 what is the smaller value of x?,2,7,9,14,(A),"You can use a different equation, but this format is used in most standardized tests.",Easy,Quadratic Equations
